Date;Difficulty;Number of Solutions;Equal to Official Solution;Run-Time;Number of Black Squares;Number of Blank Squares;Symmetrical
18/08/2023;Moderate;1;True;11396000;23;44;False
28/01/2023;Diabolical;1;True;1997715000;22;55;False
21/06/2023;Diabolical;1;True;2551870000;20;55;False
24/08/2023;Diabolical;1;True;209961000;20;53;False
09/06/2023;Diabolical;1;True;134588000;23;52;False
14/01/2023;Moderate;1;True;65678000;20;48;False
30/08/2023;Moderate;1;True;9479000;23;46;False
30/04/2023;Diabolical;1;True;704689000;22;57;False
24/04/2023;Moderate;1;True;15429000;20;46;False
05/03/2023;Diabolical;1;True;967937000;20;57;False
18/04/2023;Diabolical;1;True;274600000;20;56;False
11/03/2023;Moderate;1;True;10446000;23;43;False
19/04/2023;Gentle;1;True;8791000;20;47;False
10/03/2023;Gentle;1;True;6389000;24;40;False
04/03/2023;Tough;1;True;183561000;22;51;False
25/04/2023;Tough;1;True;254911000;23;52;False
15/01/2023;Tough;1;True;966923000;22;53;False
31/08/2023;Tough;1;True;401377000;22;51;False
08/06/2023;Tough;1;True;28011000;23;51;False
25/08/2023;Gentle;1;True;11509000;22;47;False
01/01/2023;Gentle;1;True;55544000;22;46;False
29/01/2023;Gentle;1;True;8923000;24;39;False
20/06/2023;Tough;1;True;50601000;19;52;False
19/08/2023;Tough;1;True;399217000;18;56;False
04/11/2023;Diabolical;1;True;84626000;22;54;False
10/11/2023;Moderate;1;True;18482000;21;45;False
14/11/2023;Moderate;1;True;41569000;22;45;False
28/11/2023;Diabolical;1;True;2286175000;19;59;False
05/01/2023;Gentle;1;True;9493000;23;42;False
21/08/2023;Gentle;1;True;4198000;27;37;False
18/06/2023;Gentle;1;True;16746000;22;45;False
11/01/2023;Tough;1;True;103752000;20;53;False
30/06/2023;Gentle;1;True;7572000;24;46;False
09/08/2023;Gentle;1;True;7691000;26;39;False
24/06/2023;Tough;1;True;1060020000;22;51;False
09/04/2023;Tough;1;True;2001641000;22;52;False
14/03/2023;Gentle;1;True;7015000;23;40;False
28/03/2023;Tough;1;True;309838000;20;54;False
21/04/2023;Tough;1;True;24678000;19;56;False
29/03/2023;Diabolical;1;True;68310000;20;53;False
20/04/2023;Moderate;1;True;12729000;22;46;False
15/03/2023;Moderate;1;True;8297000;22;45;False
08/04/2023;Moderate;1;True;22549000;22;47;False
01/03/2023;Diabolical;1;True;1759515000;18;55;False
25/06/2023;Diabolical;1;True;50801000;23;54;False
08/08/2023;Diabolical;1;True;144231000;23;53;False
19/06/2023;Moderate;1;True;9054000;20;48;False
10/01/2023;Moderate;1;True;28829000;23;45;False
04/01/2023;Diabolical;1;True;272552000;19;53;False
20/08/2023;Diabolical;1;True;961785000;22;53;False
29/11/2023;Gentle;1;True;8994000;20;47;False
01/11/2023;Gentle;1;True;5984000;24;39;False
15/11/2023;Tough;1;True;19784000;25;49;False
03/11/2023;Tough;1;True;876254000;24;52;False
17/11/2023;Gentle;1;True;23440000;22;44;False
12/01/2023;Diabolical;1;True;168068000;19;56;False
22/08/2023;Moderate;1;True;8467000;24;43;False
06/01/2023;Moderate;1;True;16727000;24;44;False
27/06/2023;Moderate;1;True;13409000;22;44;False
17/03/2023;Diabolical;1;True;1587145000;23;53;False
03/03/2023;Moderate;1;True;27513000;23;45;False
22/04/2023;Diabolical;1;True;226187000;20;54;False
23/04/2023;Gentle;1;True;6021000;26;36;False
02/03/2023;Gentle;1;True;5924000;24;42;False
16/03/2023;Tough;1;True;1986752000;21;53;False
26/06/2023;Gentle;1;True;9402000;20;46;False
23/08/2023;Tough;1;True;231821000;25;49;False
07/01/2023;Tough;1;True;76591000;21;54;False
13/01/2023;Gentle;1;True;7572000;24;40;False
16/11/2023;Diabolical;1;True;214501000;21;54;False
02/11/2023;Moderate;1;True;12509000;22;45;False
